mo_id,mo_number,mo_date,requested_by,requested_by_department,from_department_id,to_department_id,move_order_type,priority,source_location,destination_location,reason,required_date,approved_by,approved_date,issued_by,issued_date,received_by,received_date,status,remarks
1,MO202606010001,2026-06-01,4,2,2,3,Stores to Production,Medium,Raw Material Warehouse - Copper Rack A,Stator Winding Line 1,Issue copper winding wire for stator production batch MO batch 001.,2026-06-02,8,2026-06-01,5,2026-06-01,11,2026-06-02,Received,Material received and acknowledged at destination.
2,MO202606020001,2026-06-02,5,1,2,5,Stores to Maintenance,High,Maintenance Spares Cage,Assembly Maintenance Bay,Transfer bearing puller kit for test bench repair MO batch 002.,2026-06-04,1,2026-06-02,3,2026-06-02,,,Issued,Material issued from source area; receipt confirmation pending.
3,MO202606030001,2026-06-03,7,3,3,5,Production to Quality,Urgent,Stator Winding Line 1,Assembly Quality Gate,Move sample stators for insulation resistance testing MO batch 003.,2026-06-05,10,2026-06-03,7,2026-06-03,13,2026-06-05,Partially Received,Partial receipt recorded; balance pending verification.
4,MO202606040001,2026-06-04,10,5,5,6,Production to Finished Goods,Low,Final Assembly Line 1,Finished Goods Warehouse - EV Motor Zone,Transfer completed traction motors after final torque verification MO batch 004.,2026-06-08,8,2026-06-04,,,,,Approved,Approved and waiting for movement team assignment.
5,MO202606050001,2026-06-05,12,6,6,6,Finished Goods to Dispatch,High,Finished Goods Warehouse - EV Motor Zone,Dispatch Staging Dock 1,Stage motors for OEM dispatch MO batch 005.,2026-06-06,,,,,,,Pending Approval,Awaiting department approval before material handling.
6,MO202606060001,2026-06-06,10,5,3,4,Inter-Department Transfer,Medium,Stator Buffer Area,Rotor Assembly Feed Bay,Transfer matched stator sets for rotor pairing MO batch 006.,2026-06-08,,,,,,,Draft,Draft prepared for supervisor review.
7,MO202606070001,2026-06-07,13,6,5,2,Return to Stores,Medium,Assembly Line Surplus Bin,Raw Material Warehouse - Copper Rack A,Return unused copper wire after order closure MO batch 007.,2026-06-10,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
8,MO202606080001,2026-06-08,11,5,2,3,Stores to Production,Urgent,Raw Material Warehouse - Lamination Bay,Core Stacking Line,Move stator laminations for core stacking schedule MO batch 008.,2026-06-11,1,2026-06-08,11,2026-06-08,12,2026-06-11,Received,Material received and acknowledged at destination.
9,MO202606090001,2026-06-09,12,6,2,5,Stores to Maintenance,Medium,Tool Crib - Calibration Shelf,Preventive Maintenance Bay,Move torque tools for scheduled calibration MO batch 009.,2026-06-10,10,2026-06-09,,,,,Approved,Approved and waiting for movement team assignment.
10,MO202606100001,2026-06-10,1,1,3,5,Production to Quality,High,Core Stacking Line,Incoming Quality Bay,Move core stacks for dimensional inspection MO batch 010.,2026-06-12,8,2026-06-10,3,2026-06-10,,,Issued,Material issued from source area; receipt confirmation pending.
