mo_item_id,mo_id,item_id,requested_quantity,issued_quantity,uom,unit_cost,line_amount,source_location,destination_location,required_date,movement_date,remarks
301,301,1,413.000,413.000,No,1800.00,743400.00,Central Warehouse,Production Line,2024-04-02,2024-04-01,Generated move order item for Stator Core 1.5 kW.
302,302,1,209.000,209.000,No,1800.00,376200.00,Production Line,Quality Inspection,2024-04-04,2024-04-02,Generated move order item for Stator Core 1.5 kW.
303,303,100,45.000,45.000,No,18500.00,832500.00,Assembly,FG Store,2024-04-06,2024-04-03,Generated move order item for BLDC Motor 1.5 kW.
304,304,100,16.000,16.000,No,18500.00,296000.00,FG Store,Dispatch Dock,2024-04-08,2024-04-04,Generated move order item for BLDC Motor 1.5 kW.
305,305,23,66.000,66.000,No,120.00,7920.00,Maintenance Store,Maintenance Bay,2024-04-10,2024-04-05,Generated move order item for Bearing 6202-2RS.
306,306,1,141.000,141.000,No,1800.00,253800.00,Assembly Surplus,Central Warehouse,2024-04-07,2024-04-06,Generated move order item for Stator Core 1.5 kW.
307,307,1,338.000,338.000,No,1800.00,608400.00,Central Warehouse,Production Line,2024-04-09,2024-04-07,Generated move order item for Stator Core 1.5 kW.
308,308,1,211.000,211.000,No,1800.00,379800.00,Production Line,Quality Inspection,2024-04-11,2024-04-08,Generated move order item for Stator Core 1.5 kW.
309,309,100,53.000,53.000,No,18500.00,980500.00,Assembly,FG Store,2024-04-13,2024-04-09,Generated move order item for BLDC Motor 1.5 kW.
310,310,100,51.000,51.000,No,18500.00,943500.00,FG Store,Dispatch Dock,2024-04-15,2024-04-10,Generated move order item for BLDC Motor 1.5 kW.
311,311,23,37.000,37.000,No,120.00,4440.00,Maintenance Store,Maintenance Bay,2024-04-12,2024-04-11,Generated move order item for Bearing 6202-2RS.
312,312,1,68.000,68.000,No,1800.00,122400.00,Assembly Surplus,Central Warehouse,2024-04-14,2024-04-12,Generated move order item for Stator Core 1.5 kW.
313,313,1,195.000,195.000,No,1800.00,351000.00,Central Warehouse,Production Line,2024-04-16,2024-04-13,Generated move order item for Stator Core 1.5 kW.
314,314,1,177.000,177.000,No,1800.00,318600.00,Production Line,Quality Inspection,2024-04-18,2024-04-14,Generated move order item for Stator Core 1.5 kW.
315,315,100,28.000,28.000,No,18500.00,518000.00,Assembly,FG Store,2024-04-20,2024-04-15,Generated move order item for BLDC Motor 1.5 kW.
316,316,100,37.000,37.000,No,18500.00,684500.00,FG Store,Dispatch Dock,2024-04-17,2024-04-16,Generated move order item for BLDC Motor 1.5 kW.
317,317,23,100.000,100.000,No,120.00,12000.00,Maintenance Store,Maintenance Bay,2024-04-19,2024-04-17,Generated move order item for Bearing 6202-2RS.
318,318,1,78.000,78.000,No,1800.00,140400.00,Assembly Surplus,Central Warehouse,2024-04-21,2024-04-18,Generated move order item for Stator Core 1.5 kW.
319,319,1,300.000,300.000,No,1800.00,540000.00,Central Warehouse,Production Line,2024-04-23,2024-04-19,Generated move order item for Stator Core 1.5 kW.
320,320,1,127.000,127.000,No,1800.00,228600.00,Production Line,Quality Inspection,2024-04-25,2024-04-20,Generated move order item for Stator Core 1.5 kW.
321,321,100,35.000,35.000,No,18500.00,647500.00,Assembly,FG Store,2024-04-22,2024-04-21,Generated move order item for BLDC Motor 1.5 kW.
322,322,100,40.000,40.000,No,18500.00,740000.00,FG Store,Dispatch Dock,2024-04-24,2024-04-22,Generated move order item for BLDC Motor 1.5 kW.
