mo_id,mo_number,mo_date,requested_by,requested_by_department,from_department_id,to_department_id,approved_by,approved_date,issued_by,issued_date,status,remarks
1,MO202606010001,2026-06-01,4,2,2,3,8,2026-06-01,5,2026-06-01,Received,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Copper Rack A | To: Stator Winding Line 1 | Reason: Issue copper winding wire for stator production batch MO batch 001. | Note: Material received and acknowledged at destination.
2,MO202606020001,2026-06-02,5,1,2,5,1,2026-06-02,3,2026-06-02,Issued,Type: Stores to Maintenance | Priority: High | From: Maintenance Spares Cage | To: Assembly Maintenance Bay | Reason: Transfer bearing puller kit for test bench repair MO batch 002. | Note: Material issued from source area; receipt confirmation pending.
3,MO202606030001,2026-06-03,7,3,3,5,10,2026-06-03,7,2026-06-03,Partially Received,Type: Production to Quality | Priority: Urgent | From: Stator Winding Line 1 | To: Assembly Quality Gate | Reason: Move sample stators for insulation resistance testing MO batch 003. | Note: Partial receipt recorded; balance pending verification.
4,MO202606040001,2026-06-04,10,5,5,6,8,2026-06-04,,,Approved,Type: Production to Finished Goods | Priority: Low | From: Final Assembly Line 1 | To: Finished Goods Warehouse - EV Motor Zone | Reason: Transfer completed traction motors after final torque verification MO batch 004. | Note: Approved and waiting for movement team assignment.
5,MO202606050001,2026-06-05,12,6,6,6,,,,,Pending Approval,Type: Finished Goods to Dispatch | Priority: High | From: Finished Goods Warehouse - EV Motor Zone | To: Dispatch Staging Dock 1 | Reason: Stage motors for OEM dispatch MO batch 005. | Note: Awaiting department approval before material handling.
6,MO202606060001,2026-06-06,10,5,3,4,,,,,Draft,Type: Inter-Department Transfer | Priority: Medium | From: Stator Buffer Area | To: Rotor Assembly Feed Bay | Reason: Transfer matched stator sets for rotor pairing MO batch 006. | Note: Draft prepared for supervisor review.
7,MO202606070001,2026-06-07,13,6,5,2,,,,,Cancelled,Type: Return to Stores | Priority: Medium | From: Assembly Line Surplus Bin | To: Raw Material Warehouse - Copper Rack A | Reason: Return unused copper wire after order closure MO batch 007. | Note: Cancelled due to revised production or dispatch priority.
8,MO202606080001,2026-06-08,11,5,2,3,1,2026-06-08,11,2026-06-08,Received,Type: Stores to Production | Priority: Urgent | From: Raw Material Warehouse - Lamination Bay | To: Core Stacking Line | Reason: Move stator laminations for core stacking schedule MO batch 008. | Note: Material received and acknowledged at destination.
9,MO202606090001,2026-06-09,12,6,2,5,10,2026-06-09,,,Approved,Type: Stores to Maintenance | Priority: Medium | From: Tool Crib - Calibration Shelf | To: Preventive Maintenance Bay | Reason: Move torque tools for scheduled calibration MO batch 009. | Note: Approved and waiting for movement team assignment.
10,MO202606100001,2026-06-10,1,1,3,5,8,2026-06-10,3,2026-06-10,Issued,Type: Production to Quality | Priority: High | From: Core Stacking Line | To: Incoming Quality Bay | Reason: Move core stacks for dimensional inspection MO batch 010. | Note: Material issued from source area; receipt confirmation pending.
11,MO202606110001,2026-06-11,5,1,5,6,1,2026-06-11,7,2026-06-11,Received,Type: Production to Finished Goods | Priority: Urgent | From: Final Assembly Line 2 | To: Finished Goods Warehouse - Premium Motor Aisle | Reason: Move auxiliary motors after QA label application MO batch 011. | Note: Material received and acknowledged at destination.
12,MO202606120001,2026-06-12,7,3,6,6,10,2026-06-12,11,2026-06-12,Issued,Type: Finished Goods to Dispatch | Priority: Low | From: Finished Goods Warehouse - Premium Motor Aisle | To: Dispatch Staging Dock 2 | Reason: Move premium motors for export packing MO batch 012. | Note: Material issued from source area; receipt confirmation pending.
13,MO202606130001,2026-06-13,5,1,3,4,8,2026-06-13,5,2026-06-13,Partially Received,Type: Inter-Department Transfer | Priority: High | From: Winding Line Transfer Rack | To: Rotor Balancing Cell | Reason: Move rework material for balancing support MO batch 013. | Note: Partial receipt recorded; balance pending verification.
14,MO202606140001,2026-06-14,8,4,5,2,1,2026-06-14,,,Approved,Type: Return to Stores | Priority: Medium | From: Winding Line Excess Material Trolley | To: Raw Material Warehouse - Fastener Rack | Reason: Return unused fastener kits after model changeover MO batch 014. | Note: Approved and waiting for movement team assignment.
