mo_item_id,mo_id,item_id,requested_quantity,issued_quantity,uom,unit_cost,line_amount,source_location,destination_location,required_date,movement_date,remarks
2,2,24,26.000,26.000,No,220.00,5720.00,Maintenance Spares Cage,Assembly Maintenance Bay,2026-06-04,2026-06-02,Maintenance spare issue for Bearing 6205-2RS against MO202606020001.
3,3,3,135.000,135.000,No,6200.00,837000.00,Stator Winding Line 1,Assembly Quality Gate,2026-06-05,2026-06-03,Quality inspection sample for Stator Core 7.5 kW against MO202606030001.
4,4,100,8.000,8.000,No,18500.00,148000.00,Final Assembly Line 1,Finished Goods Warehouse - EV Motor Zone,2026-06-08,2026-06-04,Finished goods receipt movement for BLDC Motor 1.5 kW against MO202606040001.
5,5,101,10.000,10.000,No,36500.00,365000.00,Finished Goods Warehouse - EV Motor Zone,Dispatch Staging Dock 1,2026-06-06,2026-06-05,Dispatch staging movement for PMSM Motor 3 kW against MO202606050001.
6,6,65,163.000,163.000,No,12.00,1956.00,Stator Buffer Area,Rotor Assembly Feed Bay,2026-06-08,2026-06-06,Assembly transfer for Hex Bolt M835 against MO202606060001.
7,7,5,271.000,271.000,No,2200.00,596200.00,Assembly Line Surplus Bin,Raw Material Warehouse - Copper Rack A,2026-06-10,2026-06-07,Return or scrap segregation for Rotor Core 3 kW against MO202606070001.
8,8,5,305.000,305.000,No,2200.00,671000.00,Raw Material Warehouse - Lamination Bay,Core Stacking Line,2026-06-11,2026-06-08,Production issue for Rotor Core 3 kW against MO202606080001.
9,9,68,241.000,241.000,No,6.00,1446.00,Tool Crib - Calibration Shelf,Preventive Maintenance Bay,2026-06-10,2026-06-09,Maintenance spare issue for Hex Nut M8 against MO202606090001.
10,10,39,176.000,176.000,No,45.00,7920.00,Core Stacking Line,Incoming Quality Bay,2026-06-12,2026-06-10,Quality inspection sample for Hall Sensor against MO202606100001.
11,11,101,22.000,22.000,No,36500.00,803000.00,Final Assembly Line 2,Finished Goods Warehouse - Premium Motor Aisle,2026-06-13,2026-06-11,Finished goods receipt movement for PMSM Motor 3 kW against MO202606110001.
12,12,102,24.000,24.000,No,82000.00,1968000.00,Finished Goods Warehouse - Premium Motor Aisle,Dispatch Staging Dock 2,2026-06-16,2026-06-12,Dispatch staging movement for PMSM Motor 7.5 kW against MO202606120001.
13,13,72,345.000,345.000,No,0.80,276.00,Winding Line Transfer Rack,Rotor Balancing Cell,2026-06-14,2026-06-13,Assembly transfer for Spring Washer M5 against MO202606130001.
14,14,65,371.000,371.000,No,12.00,4452.00,Winding Line Excess Material Trolley,Raw Material Warehouse - Fastener Rack,2026-06-16,2026-06-14,Return or scrap segregation for Hex Bolt M835 against MO202606140001.
15,15,57,70.000,70.000,No,12.00,840.00,Raw Material Warehouse - Magnet Cage,Rotor Assembly Line 1,2026-06-18,2026-06-15,Production issue for Slot Liner 0.35 mm against MO202606150001.
16,16,49,88.000,88.000,No,25.00,2200.00,Lubricants Store,Motor Test Maintenance Bay,2026-06-19,2026-06-16,Maintenance spare issue for Cable Gland PG9 against MO202606160001.
17,17,95,106.000,106.000,No,3.00,318.00,Impregnation Oven Exit Area,Quality Inspection Bay 1,2026-06-18,2026-06-17,Quality inspection sample for QR Code Label against MO202606170001.
