move_order_id,move_order_number,move_order_date,move_order_type,source_location,destination_location,requested_by,approved_by,moved_by,reference_type,reference_id,priority,move_status,remarks,created_at,updated_at
1,MO2025010200001,2025-01-02,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-02 09:00:00,2025-01-02 15:00:00
2,MO2025051100002,2025-05-11,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,2,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2025-05-11 09:07:00,2025-05-11 15:11:00
3,MO2025051300003,2025-05-13,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,3,Medium,In Transit,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-05-13 09:14:00,2025-05-13 15:22:00
4,MO2025051400004,2025-05-14,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,4,Medium,Approved,Finished Goods Transfer for motor manufacturing warehouse movement,2025-05-14 09:21:00,2025-05-14 15:33:00
5,MO2025051600005,2025-05-16,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,5,High,Requested,QA Hold Transfer for motor manufacturing warehouse movement,2025-05-16 09:28:00,2025-05-16 15:44:00
6,MO2025051800006,2025-05-18,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,6,High,Draft,Draft rejection transfer request awaiting confirmation,2025-05-18 09:35:00,2025-05-18 15:55:00
7,MO2025041700007,2025-04-17,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,7,Low,Cancelled,Dispatch Staging Transfer cancelled due to revised material movement plan,2025-04-17 09:42:00,2025-04-17 15:06:00
8,MO2025010300008,2025-01-03,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Rejected,Raw Material Transfer rejected due to location or quantity mismatch,2025-01-03 09:49:00,2025-01-03 15:17:00
9,MO2025080700009,2025-08-07,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,9,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2025-08-07 09:56:00,2025-08-07 15:28:00
10,MO2025081000010,2025-08-10,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,10,Medium,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-08-10 09:03:00,2025-08-10 15:39:00
