mo_id,mo_number,mo_date,requested_by,requested_by_department,from_department_id,to_department_id,move_order_type,priority,source_location,destination_location,reason,required_date,approved_by,approved_date,issued_by,issued_date,received_by,received_date,status,remarks
301,MO-2024-0301,2024-04-01,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-04-02,,,,,,,Pending Approval,Generated internal movement.
302,MO-2024-0302,2024-04-02,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-04-04,6.0,2024-04-02,7.0,2024-04-02,8.0,2024-04-03,Received,Generated internal movement.
303,MO-2024-0303,2024-04-03,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-04-06,7.0,2024-04-03,8.0,2024-04-03,9.0,2024-04-04,Received,Generated internal movement.
304,MO-2024-0304,2024-04-04,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-04-08,8.0,2024-04-04,9.0,2024-04-04,10.0,2024-04-05,Received,Generated internal movement.
305,MO-2024-0305,2024-04-05,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-04-10,9.0,2024-04-05,10.0,2024-04-05,11.0,2024-04-06,Received,Generated internal movement.
306,MO-2024-0306,2024-04-06,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-04-07,,,,,,,Pending Approval,Generated internal movement.
307,MO-2024-0307,2024-04-07,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-04-09,11.0,2024-04-07,12.0,2024-04-07,13.0,2024-04-08,Received,Generated internal movement.
308,MO-2024-0308,2024-04-08,9,4,5,5,Production to Quality,Urgent,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-04-11,12.0,2024-04-08,13.0,2024-04-08,1.0,2024-04-09,Received,Generated internal movement.
309,MO-2024-0309,2024-04-09,10,5,5,6,Production to Finished Goods,Low,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-04-13,13.0,2024-04-09,1.0,2024-04-09,3.0,2024-04-10,Received,Generated internal movement.
310,MO-2024-0310,2024-04-10,11,5,6,6,Finished Goods to Dispatch,Medium,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-04-15,1.0,2024-04-10,3.0,2024-04-10,4.0,2024-04-11,Received,Generated internal movement.
